embark on,시작하다,start,commence,begin,,
embarrass,무안케 하다,abash,discountenance,,,
embed,"고정시키다, 새겨넣다", fix, fasten, root,,
embody,~을 포함하다,contain,,,,
embody,구현하다,incarnate,exemplify,represent,,
emerge, 나타나다, appear, loom,spring up,come out,
emergence,"출현,부상",rise,appearance,advent,,
emergency,"위기, 위급", crisis, exigency,,,
emergent,"떠오르는, 신흥의",emerging,nascent,,,
emissary,사절,messenger,carrier,agent,,
emit, 발산하다, give off, exhale, release, shed, radiate
emphasize,강조하다,stress,make much of,highlight,,
employ, 이용하다, use, utilize, exploit,,
empty, 텅 빈, vacant, hollow, void, unoccupied, blank
emulate,모방하다,imitate,copy,follow,mimic,
enable,~을 가능케 하다,permit,allow,facilitate,,
enact, 제정하다,pass,adopt, make into law, legislate,
encapsulate,"요약하다, 집약하다",state briefly,condense,summarize,,
enclose, 에워싸다, surround, circle, encompass,,
encompass,포함하다,include,embrace,contain,,
encounter, 마주치다, meet, face,,,
encourage, 격려하다,cheer up,hearten,motivate,prompt,
encroach,침입하다,invade,trespass,intrude,,
encroachment,침범,invasion,intrusion,,,
encumber,"(의무,짐등을) 지우다",burden,weight,tax,oppress,
encumber,저해하다,hinder,obstruct,impede,hamper,
endangered,"멸종 위기에 처한, 위험에 처한",jeopardized,imperiled,,,
endeavor,"노력하다, 애쓰다",strive,struggle,attempt,,
endless,끝없는, limitless, incessant,perpetual,ceaseless,
endorse,배서(서명)하다,sign,subscribe,,,
endorse,"보증하다, 지지하다",support,back,approve,advocate,
endow,부여하다, dower, endue,,,
endurance,내구력,durability,lastingness,,,
endurance,인내,stamina,patience,,,
endure, 견디다,survive,suffer,tolerate,persevere,
engage, 고용하다, hire, employ,,,
engage, 약속하다, promise, contract, pledge,,
engage, 예약하다, reserve, book,,,
engaged,바쁜,busy,occupied,,,
engrossed,몰두한,absorbed,occupied,preoccupied,,
enhance,"향상시키다, 개선하다",improve,enrich,intensify,upgrade,
enigmatic,알기 어려운,puzzling,mysterious,cryptic,perplxing,
enlist,입대하다, join in,enroll,,,
enormous, 거대한, immense, vast, huge,tremendous,gigantic
enrich,"(질,가치등을) 높이다",enhance,improve,better,upgrade,
ensue, 뒤따라 일어나다, follow,result, succeed,,
entail, ~을 수반하다,involve,require,,,
entangle, 뒤얽히게 하다, complicate, involve,,,
